name,frequency,columns,internal_name,version
"client_schedules","DAILY","ACTION;CHG_ADMIN;CHG_TIME;DAYOFMONTH;DAYOFWEEK;DESCRIPTION;DOMAIN_NAME;DURATION;DURUNITS;ENH_MONTH;EXPIRATION;OBJECTS;OPTIONS;PERIOD;PERUNITS;PRIORITY;PROFILE;SCHED_STYLE;SCHEDULE_NAME;STARTDATE;STARTTIME;SUBACTION;WEEKOFMONTH","CLIENT_SCHEDULES",1
"servers","DAILY","ALLOWREPLACE;ARCHDELETE;COMMMETH;COMPRESSION;DESCRIPTION;GRACE_DEL_PERIOD;HL_ADDRESS;LASTACC_TIME;LASTSESS_COMMWAIT;LASTSESS_DURATION;LASTSESS_IDLEWAIT;LASTSESS_MEDIAWAIT;LASTSESS_RECVD;LASTSESS_SENT;LL_ADDRESS;LOCKED;NODE_NAME;ORIG_DATE;PROFILE;REG_ADMIN;SERVER_INVALID_PWC;SERVER_NAME;SERVER_PSWET_TIME;SERVER_PWD_SET;SSL;URL;VALIDATEPROTOCOL;VV_INVALID_PWC;VV_PSWET_TIME;VVNODE_PWD_SET","SERVERS",1
"profiles","DAILY","CONFIG_MANAGER;DESCRIPTION;LOCKED;PROFILE_NAME","PROFILES",1
"drmmachinerecmedia","NEVER","MACHINE_NAME;RECMEDIA_NAME","DRMMACHINERECMEDIA",1
"drmedia","NEVER","LIB_NAME;LOCATION;STATE;STGPOOL_NAME;UPD_DATE;VOLTYPE;VOLUME_NAME","DRMEDIA",1
"nodegroup","DAILY","CHG_ADMIN;CHG_TIME;DESCRIPTION;NODE_NAME;NODEGROUP_NAME","NODEGROUP",1
"group_member","NEVER","CHG_ADMIN;CHG_TIME;GROUP_NAME;MEMBER_NAME","GROUP_MEMBER",1
"backups","NEVER","BACKUP_DATE;CLASS_NAME;DEACTIVATE_DATE;FILESPACE_ID;FILESPACE_NAME;HL_NAME;LL_NAME;NODE_NAME;OBJECT_ID;OWNER;STATE;TYPE","BACKUPS",1
"dbspace","HOURLY","FREE_SPACE_MB;LOCATION;TOTAL_FS_SIZE_MB;USED_FS_SIZE_MB","DBSPACE",1
"stgpools","HOURLY","ACCESS;ACTIVEDATASTGPOOLS;AUTOCOPY;CACHE;CHG_ADMIN;CHG_TIME;COLLOCATE;COPYCONTINUE;COPYSTGPOOLS;CRCDATA;DATAFORMAT;DEDUPLICATE;DESCRIPTION;DEVCLASS;EST_CAPACITY_MB;HAS_CLIENT_DEDUP_DATA;HIGHMIG;IDENTIFYPROCESS;LOWMIG;MAXSCRATCH;MAXSIZE;MIGCONTINUE;MIGDELAY;MIGPROCESS;MIGR_MB;MIGR_RUNNING;MIGR_SECONDS;NEXTSTGPOOL;NUMSCRATCHUSED;OFFSITERCLMLIMIT;OVFLOCATION;PCT_LOGICAL;PCT_MIGR;PCT_UTILIZED;POOLTYPE;RECL_RUNNING;RECLAIM;RECLAIMPROCESS;RECLAIMSTGPOOL;RECLAMATIONTYPE;REUSEDELAY;SHRED_COUNT;SPACE_SAVED_MB;STGPOOL_NAME;TRIGGER_PCT_UTIL","STGPOOLS",1
"events","DAILY","ACTUAL_START;COMPLETED;DOMAIN_NAME;NODE_NAME;REASON;RESULT;SCHEDULE_NAME;SCHEDULED_START;STATUS","EVENTS",1
"mgmtclasses","DAILY","AUTOMIGNONUSE;CHG_ADMIN;CHG_TIME;CLASS_NAME;DEFAULTMC;DESCRIPTION;DOMAIN_NAME;MIGDESTINATION;MIGREQUIRESBKUP;PROFILE;SET_NAME;SPACEMGTECHNIQUE","MGMTCLASSES",1
"drmmachinenode","NEVER","MACHINE_NAME;NODE_NAME","DRMMACHINENODE",1
"drmmachinerecinst","NEVER","MACHINE_NAME;RECINSTRUCTIONS","DRMMACHINERECINST",1
"drmcstgpools","NEVER","STGPOOL_NAME","DRMCSTGPOOLS",1
"clientopts","DAILY","FORCE;OBSOLETE;OPTION_NAME;OPTION_VALUE;OPTIONSET_NAME;SEQNUMBER;WHEN_OBSOLETE","CLIENTOPTS",1
"sessions","FIVELY","BYTES_RECEIVED;BYTES_SENT;CLIENT_NAME;CLIENT_PLATFORM;COMMMETHOD;INPUT_MOUNT_WAIT;INPUT_VOL_ACCESS;INPUT_VOL_WAIT;LAST_VERB;MOUNT_POINT_WAIT;OUTPUT_MOUNT_WAIT;OUTPUT_VOL_ACCESS;OUTPUT_VOL_WAIT;OWNER_NAME;SESSION_ID;SESSION_TYPE;START_TIME;STATE;VERB_STATE;WAIT_SECONDS","SESSIONS",1
"admin_schedules","DAILY","ACTIVE;CHG_ADMIN;CHG_TIME;COMMAND;DAYOFMONTH;DAYOFWEEK;DESCRIPTION;DURATION;DURUNITS;ENH_MONTH;EXPIRATION;PERIOD;PERUNITS;PRIORITY;PROFILE;SCHED_STYLE;SCHEDULE_NAME;STARTDATE;STARTTIME;WEEKOFMONTH","ADMIN_SCHEDULES",1
"scripts","NEVER","CHG_ADMIN;CHG_TIME;COMMAND;LINE;NAME","SCRIPTS",1
"datamovers","DAILY","DATA_FORMAT;HL_ADDRESS;LAST_UPDATE;LAST_UPDATE_BY;LL_ADDRESS;MOVER_NAME;ONLINE;TYPE;USER_NAME","DATAMOVERS",1
